                                                                 BALANCE DE SUMAS Y SALDOS
EMPRESA: MAKE-OPTIC, SL                                                                                     FECHA: 20/08/2026
Condición: Desde la SUBCUENTA 1000000000 a la 7999999999
           En el PERIODO del 01/01/2021 al 31/12/2021


Subcuenta      Nombre de la Subcuenta                             Saldo Inicial        Debe        Haber                Saldo
4720000021     IVA SOPORTADO 21%                                           0,00       24.559,25      24.559,25                0,00
4745           CRÉDITO POR PÉRDIDAS A COMPENSAR DEL EJERCICIO..       14.318,45            0,00      14.318,45                0,00
4745000004     CDTO ODAS ACMP EJER 2012                                5.791,93            0,00       5.791,93                0,00
4745000006     CDTO PDAS A COMP EJER 2015                              4.461,52            0,00       4.461,52                0,00
4745000007     CDTO PDAS A COMP 2018                                   4.065,00            0,00       4.065,00                0,00
4750           HACIENDA PÚBLICA, ACREEDORA POR IVA                    -4.361,13       33.195,88      28.834,75                0,00
4750000000     HACIENDA PÚBLICA, ACREEDORA POR IVA                         0,00       13.378,30      13.378,30                0,00
4750000010     APZO IVA 3T 2020                                       -4.361,13        6.846,11       2.484,98                0,00
4750000011     APZO MOD 303 3T 2021                                        0,00        9.325,17       9.325,17                0,00
4750000012     APZO IVA 4T 20221                                           0,00        3.646,30       3.646,30                0,00
4751           HACIENDA PÚBLICA, ACREEDORA POR RETENCIONES PR         -8.147,11       29.910,83      21.763,72                0,00
4751000000     HACIENDA PÚBLICA, ACREEDORA POR RETENCIONES PRA        -2.829,09       18.094,33      15.265,24                0,00
4751000002     RETENCIONES ALQUILER                                   -3.344,28        9.842,76       6.498,48                0,00
4751000003     AZPO COVID 19 RETENCIONES                              -1.973,74        1.973,74           0,00                0,00
4752           HACIENDA PÚBLICA, ACREEDORA POR IMPUESTO SOBR         -16.147,50       20.376,01       4.228,51                0,00
4752000000     HACIENDA PÚBLICA, ACREEDORA POR IMPUESTO SOBRE        -16.147,50       18.811,19       2.663,69                0,00
4752000002     APZO IMP SOC 2020                                           0,00        1.564,82       1.564,82                0,00
4760           ORGANISMOS DE LA SEGURIDAD SOCIAL, ACREEDORES          -1.687,92       27.759,93      26.072,01                0,00
4760000000     ORGANISMOS DE LA SEGURIDAD SOCIAL, ACREEDORES          -1.687,92       27.759,93      26.072,01                0,00
4770           HACIENDA PÚBLICA, IVA REPERCUTIDO                      -4.745,66       56.390,88      51.645,22                0,00
4770000010     IVA RERCUTIDO 10%                                      -2.187,33       38.441,70      36.254,37                0,00
4770000021     IVA REPERCUTIDO 21%                                    -2.508,64       13.194,98      10.686,34                0,00
4770000099     H.P. IVA REPERCUTIDO PARA ADQ. INTRACOMUNITARIAS            0,00        4.514,41       4.514,41                0,00
4770000144     IVA REPERCUTIDO 1,4%                                      -41,30          188,84         147,54                0,00
4770000522     IVA REPECUTIDO R.E. 5,2%                                   -8,39           50,95          42,56                0,00
4790           PASIVOS POR DIFERENCIAS TEMPORARIAS IMPONIBLES              0,00          283,80         283,80                0,00
4790000000     PASIVOS POR DIFERENCIAS TEMPORARIAS IMPONIBLES              0,00          283,80         283,80                0,00
5201           DEUDAS A CORTO PLAZO POR CRÉDITO DISPUESTO             38.276,65      482.710,91     520.987,56                0,00
5201000001     BCO SABADELL CTA 0001638565                            38.276,65      482.710,91     520.987,56                0,00
5510           CUENTA CORRIENTE CON SOCIOS Y ADMINISTRADORES          -8.888,86        8.888,86           0,00                0,00
5510000001     CTA SOCIOS AURELIO                                     -4.444,43        4.444,43           0,00                0,00
5510000003     APORT.SOCIOS PEPE                                      -4.444,43        4.444,43           0,00                0,00
5550           PARTIDAS PENDIENTES DE APLICACIÓN                           0,00        2.260,68       2.260,68                0,00
5550000000     PARTIDAS PENDIENTES DE APLICACIÓN                           0,00        2.260,68       2.260,68                0,00
5700           CAJA, EUROS                                            60.583,61      999.921,34   1.060.504,95                0,00
5700000000     CAJA, EUROS                                               534,32            0,00         534,32                0,00
